Subject,Hdefault,Adaptivity,Noise,Norm_Ipast,Ipast,Ifuture,X_Ipast,X_Ifuture,Corr_S1,Corr_S2,Corr_S3
BS8975,0.296162195816956,0.574306629594384,1.03799730163931,0.316187438615252,0.372343781700315,0.197182454120101,0.0561563430850631,0.0561515009449643,0.773773773773774,0.683683683683684,NaN
BU8993,0.342528390192345,0.200544049054741,0.508807471161803,0.210145732149628,0.311473895547707,0.190073676593956,0.101328163398079,0.101328163398079,NaN,NaN,0.743743743743744
BW8982,0.330767051054681,0.628981792369777,2.03519504693409,0.079092732117327,0.13524907520239,0.111128706031258,0.0561563430850631,0.0561515009449643,0.718718718718719,0.602602602602603,NaN
DD8455,0.0961998335056852,0.943041707162341,1.49954634428659,0.404258183685864,0.473597253554922,0.34712829652102,0.0693390698690587,0.0691965470564052,0.852852852852853,0.661661661661662,0.812812812812813
EI8977,0.398394950355311,0.423290178825509,0.918574652600319,0.105243403892229,0.161399746977292,0.116743911294135,0.0561563430850631,0.0561515009449643,0.736736736736737,0.646646646646647,NaN
FH7090,0.342260340681256,0.64586886346335,1.70405693879345,0.155009259823593,0.211165602908656,0.130256677389657,0.0561563430850631,0.0561515009449643,0.718718718718719,0.644644644644645,NaN
GU7101,0.285573602572601,0.233499533964861,0.420576374017955,0.223532626101721,0.264461243924387,0.113496681209338,0.0409286178226655,0.0409286178226655,NaN,0.606606606606607,NaN
KD8974,0.317505180155281,0.326221061373791,0.504715600897194,0.262650435974516,0.318806779059579,0.1925909606995,0.0561563430850631,0.0561515009449643,0.778778778778779,0.661661661661662,NaN
KQ8976,0.285425036298435,0.766388701581369,1.75093187541754,0.225849024778875,0.282005367863939,0.173491998430776,0.0561563430850631,0.0561515009449643,0.743743743743744,0.682682682682683,NaN
KQ8978,0.289033261968739,0.587121199114441,1.41632340068638,0.236069224329749,0.292225567414812,0.146323151605316,0.0561563430850631,0.0561515009449643,0.742742742742743,0.642642642642643,NaN
LT8818,0.0123154289397236,0.0508662159747643,1.54270697457995,0.10611567263193,0.207443836030009,0.111420825997495,0.101328163398079,0.101328163398079,NaN,NaN,0.734734734734735
MC8912,0.240102940582576,0.636524753285722,1.34814639519828,0.231158820858988,0.287315163944051,0.190231655456439,0.0561563430850631,0.0561515009449643,0.774774774774775,0.63963963963964,NaN
MH11,0.298533854375669,0.741033522478362,1.3209560085835,0.302282518797955,0.358438861883018,0.264320722602199,0.0561563430850631,0.0561515009449643,0.7997997997998,0.676676676676677,NaN
